date,open,high,low,close,volume,dividends,stock splits,symbol,ts_code,daily_return
2024-01-08,137.3000030517578,139.89999389648438,136.89999389648438,138.02000427246094,480700,0.0,0.0,ONTO,ONTO,
2024-01-09,136.32000732421875,146.125,136.32000732421875,144.5800018310547,478600,0.0,0.0,ONTO,ONTO,0.04752932441332103
2024-01-10,144.39999389648438,145.49000549316406,140.36000061035156,141.72999572753906,391800,0.0,0.0,ONTO,ONTO,-0.019712311989357523
2024-01-11,140.69000244140625,143.25,138.27000427246094,142.42999267578125,241900,0.0,0.0,ONTO,ONTO,0.004938947077849809
2024-01-12,143.72000122070312,145.0,142.2899932861328,144.22999572753906,278700,0.0,0.0,ONTO,ONTO,0.012637809059326655
2024-01-16,143.9199981689453,148.0449981689453,143.88999938964844,147.5399932861328,245400,0.0,0.0,ONTO,ONTO,0.022949439483078038
2024-01-17,145.89999389648438,146.875,141.78500366210938,146.5,267900,0.0,0.0,ONTO,ONTO,-0.007048890697154198
2024-01-18,151.2899932861328,156.24000549316406,150.55999755859375,155.2899932861328,424700,0.0,0.0,ONTO,ONTO,0.059999954171555014
2024-01-19,157.4499969482422,163.38999938964844,156.47999572753906,162.8699951171875,428500,0.0,0.0,ONTO,ONTO,0.04881191421708664
2024-01-22,164.83999633789062,169.5,164.83999633789062,167.75,478500,0.0,0.0,ONTO,ONTO,0.029962577694567116
2024-01-23,167.27000427246094,167.44000244140625,164.52000427246094,166.1300048828125,273300,0.0,0.0,ONTO,ONTO,-0.009657198910208664
2024-01-24,169.82000732421875,172.36000061035156,165.8699951171875,165.9600067138672,436800,0.0,0.0,ONTO,ONTO,-0.0010232839580377462
2024-01-25,170.7899932861328,171.67999267578125,163.86000061035156,164.25999450683594,362400,0.0,0.0,ONTO,ONTO,-0.010243505291984256
2024-01-26,161.0500030517578,165.30999755859375,158.39999389648438,160.50999450683594,547900,0.0,0.0,ONTO,ONTO,-0.022829661058121675
2024-01-29,160.6699981689453,164.6300048828125,159.13400268554688,164.47000122070312,334100,0.0,0.0,ONTO,ONTO,0.024671402712548973
2024-01-30,163.97000122070312,165.58999633789062,163.3000030517578,164.2899932861328,549800,0.0,0.0,ONTO,ONTO,-0.001094472750254094
2024-01-31,161.72000122070312,164.8000030517578,158.38999938964844,161.5,509200,0.0,0.0,ONTO,ONTO,-0.016982125510673463
2024-02-01,162.38999938964844,164.02000427246094,160.60499572753906,162.9499969482422,406300,0.0,0.0,ONTO,ONTO,0.008978309277041463
2024-02-02,162.17999267578125,166.25999450683594,162.17999267578125,164.92999267578125,319800,0.0,0.0,ONTO,ONTO,0.01215094056226329
2024-02-05,165.63999938964844,167.92999267578125,162.39500427246094,167.42999267578125,334500,0.0,0.0,ONTO,ONTO,0.015157946468320693
2024-02-06,167.4199981689453,168.6300048828125,153.61000061035156,155.77000427246094,597200,0.0,0.0,ONTO,ONTO,-0.0696409778019833
2024-02-07,158.57000732421875,161.0,154.42999267578125,158.52000427246094,642500,0.0,0.0,ONTO,ONTO,0.01765423332203242
2024-02-08,158.7100067138672,166.3699951171875,157.97000122070312,164.75999450683594,733000,0.0,0.0,ONTO,ONTO,0.03936405542640431
2024-02-09,171.00999450683594,180.1199951171875,161.77999877929688,180.00999450683594,943800,0.0,0.0,ONTO,ONTO,0.09255887659893847
2024-02-12,179.6699981689453,181.66000366210938,171.87899780273438,173.77999877929688,664300,0.0,0.0,ONTO,ONTO,-0.034609165699977185
2024-02-13,166.58999633789062,174.5449981689453,165.7899932861328,168.38999938964844,600400,0.0,0.0,ONTO,ONTO,-0.031016224119634228
2024-02-14,171.44000244140625,173.8699951171875,169.99000549316406,173.0800018310547,534300,0.0,0.0,ONTO,ONTO,0.0278520248138594
2024-02-15,174.8699951171875,177.9600067138672,172.5399932861328,176.4600067138672,523600,0.0,0.0,ONTO,ONTO,0.01952856971952066
2024-02-16,178.22000122070312,186.3800048828125,178.22000122070312,182.22999572753906,715700,0.0,0.0,ONTO,ONTO,0.032698565080687025
2024-02-20,179.19000244140625,179.69000244140625,168.25,168.8000030517578,764000,0.0,0.0,ONTO,ONTO,-0.07369803539841535
2024-02-21,166.60000610351562,168.92999267578125,164.9499969482422,167.9499969482422,479500,0.0,0.0,ONTO,ONTO,-0.005035581090925612
2024-02-22,175.0,180.89999389648438,174.2100067138672,178.14999389648438,387900,0.0,0.0,ONTO,ONTO,0.06073234375458525
2024-02-23,178.60000610351562,180.4499969482422,175.0540008544922,178.4600067138672,280600,0.0,0.0,ONTO,ONTO,0.0017401786584565482
2024-02-26,179.35000610351562,181.30999755859375,177.63499450683594,180.50999450683594,224600,0.0,0.0,ONTO,ONTO,0.011487099158612013
2024-02-27,182.38999938964844,184.32000732421875,178.36000061035156,180.02000427246094,235800,0.0,0.0,ONTO,ONTO,-0.0027144770333281665
2024-02-28,177.72999572753906,180.83999633789062,175.5749969482422,180.50999450683594,222000,0.0,0.0,ONTO,ONTO,0.002721865474646812
2024-02-29,184.0,185.4199981689453,181.0399932861328,184.16000366210938,465100,0.0,0.0,ONTO,ONTO,0.020220537733910415
2024-03-01,185.8800048828125,194.03199768066406,182.75999450683594,192.58999633789062,366800,0.0,0.0,ONTO,ONTO,0.04577537200340376
2024-03-04,194.7100067138672,199.72000122070312,193.8000030517578,194.72999572753906,468900,0.0,0.0,ONTO,ONTO,0.011111685084068013
2024-03-05,191.97000122070312,193.39500427246094,185.80999755859375,187.8300018310547,288100,0.0,0.0,ONTO,ONTO,-0.03543364683342709
2024-03-06,190.75999450683594,193.10000610351562,187.74000549316406,190.3000030517578,363800,0.0,0.0,ONTO,ONTO,0.013150195371476325
2024-03-07,192.0,198.97000122070312,190.50999450683594,196.61000061035156,269600,0.0,0.0,ONTO,ONTO,0.03315815794746757
2024-03-08,196.5,199.1699981689453,185.1300048828125,185.19000244140625,358600,0.0,0.0,ONTO,ONTO,-0.05808452333804659
2024-03-11,182.6199951171875,182.6199951171875,174.2050018310547,180.49000549316406,441600,0.0,0.0,ONTO,ONTO,-0.025379323323510672
2024-03-12,181.1300048828125,182.94500732421875,178.1699981689453,182.86000061035156,342600,0.0,0.0,ONTO,ONTO,0.013130893927959075
2024-03-13,180.75,183.22000122070312,175.5399932861328,177.02999877929688,330300,0.0,0.0,ONTO,ONTO,-0.03188232424584525
2024-03-14,176.14999389648438,178.27999877929688,173.39999389648438,175.00999450683594,416700,0.0,0.0,ONTO,ONTO,-0.011410519609048153
2024-03-15,173.9600067138672,178.3000030517578,172.83999633789062,175.42999267578125,847100,0.0,0.0,ONTO,ONTO,0.002399852477733333
2024-03-18,177.75999450683594,180.6199951171875,173.4600067138672,175.74000549316406,418400,0.0,0.0,ONTO,ONTO,0.0017671597236839087
2024-03-19,173.1999969482422,176.4199981689453,170.0500030517578,175.64999389648438,315700,0.0,0.0,ONTO,ONTO,-0.0005121861492327628
2024-03-20,176.02000427246094,178.66000366210938,172.1999969482422,178.47999572753906,309900,0.0,0.0,ONTO,ONTO,0.016111596523723737
2024-03-21,184.6699981689453,187.5,182.88999938964844,183.00999450683594,363800,0.0,0.0,ONTO,ONTO,0.02538098883760731
2024-03-22,181.38999938964844,184.6999969482422,179.67999267578125,183.44000244140625,251500,0.0,0.0,ONTO,ONTO,0.002349641809066716
2024-03-25,182.10000610351562,186.89999389648438,182.10000610351562,184.39999389648438,335300,0.0,0.0,ONTO,ONTO,0.005233272145124257
2024-03-26,184.99000549316406,186.0,180.3000030517578,180.47999572753906,258500,0.0,0.0,ONTO,ONTO,-0.02125812526407056
2024-03-27,181.58999633789062,181.58999633789062,176.02999877929688,180.49000549316406,254300,0.0,0.0,ONTO,ONTO,5.546191191241334e-05
