date,open,high,low,close,volume
2021-08-20,4.79,6.52,4.58,6.11,38846643.13
2021-08-23,5.5,5.5,5.5,5.5,3109724.0
2021-08-24,4.95,4.95,4.95,4.95,4065975.0
2021-08-25,4.95,5.14,4.77,4.83,20840902.57
2021-08-26,4.73,4.84,4.62,4.71,13816493.25
2021-08-27,4.66,4.7,4.6,4.61,9154882.63
2021-08-30,4.62,4.67,4.58,4.64,8283240.6
2021-08-31,4.61,4.62,4.55,4.56,7428288.37
2021-09-01,4.55,4.61,4.54,4.58,6917194.15
2021-09-02,4.56,4.57,4.54,4.56,5988770.45
2021-09-03,4.55,4.55,4.53,4.54,5609119.38
2021-09-06,4.54,4.58,4.53,4.55,5960070.77
2021-09-07,4.54,4.55,4.53,4.54,4980432.33
2021-09-08,4.54,4.55,4.53,4.54,4579273.55
2021-09-09,4.54,4.55,4.53,4.54,4194722.06
2021-09-10,4.54,4.55,4.53,4.53,4022438.04
2021-09-13,4.53,4.54,4.53,4.54,3432768.22
2021-09-14,4.54,4.54,4.53,4.53,4082816.25
2021-09-15,4.53,4.54,4.53,4.53,3390751.12
2021-09-16,4.53,4.54,4.53,4.53,4368258.08
2021-09-17,4.53,4.54,4.53,4.53,5390700.49
2021-09-22,4.54,4.73,4.53,4.63,5435019.22
2021-09-23,4.59,4.6,4.54,4.55,3349932.05
2021-09-24,4.54,4.55,4.43,4.44,3545091.57
2021-09-27,4.44,4.44,4.3,4.31,2857343.13
2021-09-28,4.29,4.38,4.25,4.34,1580029.69
2021-09-29,4.29,4.31,4.25,4.26,1458438.12
2021-09-30,4.26,4.3,4.25,4.29,976893.23
2021-10-08,4.3,4.35,4.27,4.34,1403773.83
2021-10-11,4.33,4.35,4.31,4.33,1059875.35
2021-10-12,4.32,4.33,4.25,4.28,1262681.61
2021-10-13,4.27,4.28,4.25,4.27,858031.6
2021-10-14,4.27,4.27,4.25,4.26,675388.93
2021-10-15,4.26,4.28,4.25,4.26,783028.87
2021-10-18,4.26,4.26,4.21,4.22,1151070.82
2021-10-19,4.22,4.23,4.19,4.2,936169.96
2021-10-20,4.2,4.21,4.18,4.19,804948.21
2021-10-21,4.19,4.19,4.16,4.17,882845.52
2021-10-22,4.16,4.16,4.13,4.14,1030288.57
2021-10-25,4.14,4.22,4.14,4.22,1406985.66
2021-10-26,4.2,4.22,4.16,4.2,1063230.21
2021-10-27,4.18,4.23,4.14,4.23,1271708.8
2021-10-28,4.23,4.41,4.18,4.41,2111833.38
2021-10-29,4.35,4.39,4.31,4.39,1667861.36
2021-11-01,4.35,4.36,4.31,4.33,868486.62
2021-11-02,4.31,4.33,4.22,4.22,1033921.73
2021-11-03,4.21,4.22,4.19,4.21,567512.05
2021-11-04,4.21,4.22,4.18,4.19,602523.22
2021-11-05,4.19,4.27,4.17,4.24,1172171.18
2021-11-08,4.22,4.24,4.2,4.21,572343.48
2021-11-09,4.2,4.24,4.19,4.22,541051.57
2021-11-10,4.22,4.23,4.19,4.21,531615.41
2021-11-11,4.2,4.23,4.2,4.21,633024.13
2021-11-12,4.21,4.22,4.2,4.21,567338.06
2021-11-15,4.22,4.25,4.21,4.22,692019.5
2021-11-16,4.22,4.23,4.2,4.21,555962.61
2021-11-17,4.21,4.22,4.2,4.21,398791.59
2021-11-18,4.21,4.22,4.18,4.18,629933.0
2021-11-19,4.18,4.2,4.17,4.19,575666.72
2021-11-22,4.19,4.4,4.18,4.4,2327161.04
2021-11-23,4.32,4.35,4.29,4.3,1244255.8
2021-11-24,4.29,4.32,4.26,4.29,747745.03
2021-11-25,4.28,4.3,4.28,4.28,429055.17
2021-11-26,4.28,4.29,4.27,4.28,509856.64
2021-11-29,4.27,4.31,4.24,4.28,711738.28
2021-11-30,4.28,4.3,4.27,4.28,613623.0
2021-12-01,4.27,4.3,4.26,4.29,572306.49
2021-12-02,4.28,4.29,4.27,4.28,520960.9
2021-12-03,4.28,4.36,4.27,4.32,1255635.34
2021-12-06,4.31,4.37,4.3,4.33,1319424.32
2021-12-07,4.32,4.35,4.31,4.33,854938.57
2021-12-08,4.33,4.35,4.32,4.34,873659.1
2021-12-09,4.34,4.42,4.33,4.42,1789887.12
2021-12-10,4.38,4.47,4.37,4.44,2208462.66
2021-12-13,4.42,4.44,4.4,4.4,1205446.25
2021-12-14,4.39,4.4,4.34,4.34,992355.0
2021-12-15,4.33,4.37,4.32,4.35,767163.58
2021-12-16,4.35,4.37,4.33,4.36,653306.1
2021-12-17,4.35,4.36,4.34,4.35,531016.19
2021-12-20,4.35,4.47,4.34,4.42,2220912.53
2021-12-21,4.41,4.45,4.39,4.43,1263152.29
2021-12-22,4.43,4.44,4.36,4.36,1015166.03
2021-12-23,4.36,4.38,4.35,4.35,678627.0
2021-12-24,4.35,4.36,4.31,4.31,870256.48
2021-12-27,4.31,4.34,4.3,4.32,613682.67
2021-12-28,4.32,4.33,4.3,4.32,452369.03
2021-12-29,4.32,4.32,4.3,4.31,357870.95
2021-12-30,4.31,4.34,4.3,4.31,455108.44
2021-12-31,4.32,4.34,4.31,4.33,487037.07
2022-01-04,4.32,4.4,4.32,4.38,1232731.92
2022-01-05,4.36,4.36,4.3,4.3,1452105.63
2022-01-06,4.3,4.32,4.28,4.3,760370.27
2022-01-07,4.29,4.33,4.29,4.29,738371.8
2022-01-10,4.29,4.34,4.29,4.32,971501.11
2022-01-11,4.32,4.33,4.3,4.31,701700.93
2022-01-12,4.31,4.32,4.3,4.31,380558.98
2022-01-13,4.32,4.34,4.3,4.3,718349.65
2022-01-14,4.3,4.31,4.26,4.26,917426.75
2022-01-17,4.26,4.28,4.25,4.27,494118.05
2022-01-18,4.27,4.31,4.26,4.29,668718.47
2022-01-19,4.28,4.28,4.26,4.26,467981.18
2022-01-20,4.28,4.3,4.27,4.28,602065.06
2022-01-21,4.28,4.28,4.26,4.27,457855.71
2022-01-24,4.27,4.29,4.25,4.28,570956.06
2022-01-25,4.27,4.28,4.19,4.2,876929.0
2022-01-26,4.2,4.23,4.2,4.21,404256.68
2022-01-27,4.22,4.22,4.15,4.15,624971.05
2022-01-28,4.16,4.18,4.15,4.16,430750.97
2022-02-07,4.18,4.22,4.17,4.21,475371.68
2022-02-08,4.21,4.33,4.2,4.29,1550003.48
2022-02-09,4.28,4.47,4.27,4.41,3656765.46
2022-02-10,4.37,4.38,4.3,4.32,1782491.88
2022-02-11,4.31,4.35,4.3,4.31,886434.07
2022-02-14,4.3,4.31,4.24,4.26,966475.59
2022-02-15,4.25,4.26,4.23,4.24,420352.09
2022-02-16,4.25,4.26,4.23,4.25,534188.95
2022-02-17,4.24,4.25,4.22,4.22,393906.98
2022-02-18,4.22,4.26,4.22,4.26,501327.21
2022-02-21,4.2,4.22,4.14,4.19,4776088.28
