date,open,high,low,close,volume,dividends,stock splits,symbol,ts_code,daily_return
2017-10-03,41.16544634904538,41.6082642120756,41.04847583331721,41.441162109375,325100,0.0,0.0,SIMO,SIMO,
2017-10-04,41.432796328195,41.474571044858045,40.054208367868405,40.38841247558594,881300,0.0,0.0,SIMO,SIMO,-0.02540347761026962
2017-10-05,40.438556777184104,41.27406412227297,39.83699046881369,41.24899673461914,430600,0.0,0.0,SIMO,SIMO,0.02130770204333765
2017-10-06,41.04012383029912,43.00356819169523,40.48033538531729,42.77798080444336,1185300,0.0,0.0,SIMO,SIMO,0.03706718201320491
2017-10-09,43.02026269889883,43.780574045091676,42.91164588166937,43.61347198486328,434900,0.0,0.0,SIMO,SIMO,0.019530869964136777
2017-10-10,43.83070585914404,43.95603321091609,43.26256072226946,43.772220611572266,345300,0.0,0.0,SIMO,SIMO,0.0036398988542825084
2017-10-11,43.86413029112248,44.073007102032584,43.30434196774285,43.88919448852539,230000,0.0,0.0,SIMO,SIMO,0.002672331339804046
2017-10-12,43.7722208614983,44.13984606228496,43.44637356967882,43.97274398803711,302300,0.0,0.0,SIMO,SIMO,0.0019036462274002464
2017-10-13,43.98110308570566,44.106430453661346,43.25421263830186,43.38789367675781,694200,0.0,0.0,SIMO,SIMO,-0.01330029145869105
2017-10-16,43.07039639699071,43.471439478667996,42.6442891187108,43.028621673583984,573300,0.0,0.0,SIMO,SIMO,-0.008280466570938505
2017-10-17,42.836454288048664,43.75551092805063,42.836454288048664,43.49650573730469,560200,0.0,0.0,SIMO,SIMO,0.010873786924203266
2017-10-18,43.655256069480664,44.382146522142946,43.31269820675868,43.755516052246094,580300,0.0,0.0,SIMO,SIMO,0.005954738445099306
2017-10-19,43.438017653363104,43.630183913285826,42.869872542632095,43.42966079711914,239000,0.0,0.0,SIMO,SIMO,-0.007447181167692496
2017-10-20,43.63854067555451,43.86412800202979,43.13723763041412,43.2625617980957,248500,0.0,0.0,SIMO,SIMO,-0.0038475778064221977
2017-10-23,43.37952624899465,43.62182406815897,43.087100044628464,43.195716857910156,321900,0.0,0.0,SIMO,SIMO,-0.001545098981828863
2017-10-24,43.772221309817354,44.22339595874543,42.81138995066348,42.85316467285156,822300,0.0,0.0,SIMO,SIMO,-0.007930234985690787
2017-10-25,42.86151150216868,42.99519250416069,41.190497383665374,41.7419319152832,1184500,0.0,0.0,SIMO,SIMO,-0.02593117138609724
2017-10-26,41.75029984515937,42.26831346688294,40.680848358340185,40.77275466918945,1216900,0.0,0.0,SIMO,SIMO,-0.023218313135595414
2017-10-27,41.20721867967674,42.6025174907324,38.85108841162571,39.4860725402832,1439200,0.0,0.0,SIMO,SIMO,-0.031557400017383386
2017-10-30,39.66153097185972,40.238029838512865,39.43594362737615,39.477718353271484,518100,0.0,0.0,SIMO,SIMO,-0.00021157300471441598
2017-10-31,39.527854548147864,40.52210716416245,39.435948228131586,40.455265045166016,992900,0.0,0.0,SIMO,SIMO,0.024761985562256283
2017-11-01,40.66412606239937,40.87300282217057,40.06256316155866,40.488670349121094,601900,0.0,0.0,SIMO,SIMO,0.0008257343986692867
2017-11-02,40.28816305840793,41.49964609461934,40.25474200145119,40.66413879394531,379800,0.0,0.0,SIMO,SIMO,0.004333766540397743
2017-11-03,40.7644008982136,41.065184028539434,39.786855724654636,40.08763885498047,433900,0.0,0.0,SIMO,SIMO,-0.01417710926785154
2017-11-06,40.3215808398868,40.572235579306216,39.89547351984713,40.497039794921875,477800,0.0,0.0,SIMO,SIMO,0.010212647879373371
2017-11-07,40.50538845003272,40.53045264598816,40.06257065638236,40.405128479003906,280000,0.0,0.0,SIMO,SIMO,-0.0022695810949000528
2017-11-08,40.41353736420135,41.02726451134744,39.732550865920274,40.26220703125,354700,0.3,0.0,SIMO,SIMO,-0.0035372105753400662
2017-11-09,39.934332971142005,40.09406914846951,39.54760125312619,39.64848709106445,160800,0.0,0.0,SIMO,SIMO,-0.015243077452490428
2017-11-10,39.7241540502107,39.85866957585321,39.547603024136734,39.65689468383789,231900,0.0,0.0,SIMO,SIMO,0.00021205330619866736
2017-11-13,39.49714931766402,40.094061623497694,39.35422800800062,39.90069580078125,174300,0.0,0.0,SIMO,SIMO,0.006147761162013543
2017-11-14,39.816628421244964,40.00999426145314,39.35423156795562,39.539188385009766,245400,0.0,0.0,SIMO,SIMO,-0.009060178237904504
2017-11-15,39.33741513142718,39.50556030955092,39.10201059921293,39.295379638671875,543300,0.0,0.0,SIMO,SIMO,-0.00616625571480689
2017-11-16,39.614855785565716,40.463987574123735,39.581229312366624,39.892295837402344,414900,0.0,0.0,SIMO,SIMO,0.015190493239134462
2017-11-17,39.90068223015001,40.657333633088896,39.825017089856125,40.220157623291016,377600,0.0,0.0,SIMO,SIMO,0.008218674282999716
2017-11-20,40.29584503173828,40.53965541931906,39.80822425657671,40.29584503173828,215200,0.0,0.0,SIMO,SIMO,0.0018818277430976416
2017-11-21,40.741415909517144,41.48965850088982,40.33786945148813,41.25425720214844,467100,0.0,0.0,SIMO,SIMO,0.02378439190579784
2017-11-22,41.40559571866484,41.97728744911514,41.19541502973761,41.632591247558594,207900,0.0,0.0,SIMO,SIMO,0.009170787963925564
2017-11-24,41.9100175623034,41.943647233789335,41.16177501080224,41.57373046875,221600,0.0,0.0,SIMO,SIMO,-0.0014138149234717012
2017-11-27,41.901614175057794,42.759151605008554,41.78391352514141,42.52375030517578,531600,0.0,0.0,SIMO,SIMO,0.022851445509319612
2017-11-28,42.8348168362052,43.372878783611775,41.321516807348644,41.61576843261719,782100,0.0,0.0,SIMO,SIMO,-0.02135234700708133
2017-11-29,41.82595365913353,42.641455691423616,41.54851363314111,42.246315002441406,838300,0.0,0.0,SIMO,SIMO,0.015151626260252238
2017-11-30,42.246310757955165,44.42378242580351,42.18746043237296,43.51580047607422,732200,0.0,0.0,SIMO,SIMO,0.030049614352386733
2017-12-01,43.372882495654025,44.26404967675504,42.74234049574071,43.3560676574707,438900,0.0,0.0,SIMO,SIMO,-0.0036706855178118003
2017-12-04,43.56625058145083,43.986611936506975,42.65827172222291,43.70917510986328,503700,0.0,0.0,SIMO,SIMO,0.008144360673626228
2017-12-05,43.717576775696294,46.340630484249424,43.58306128313209,45.68486785888672,955000,0.0,0.0,SIMO,SIMO,0.045200870161871576
2017-12-06,45.3653915762986,45.39902125063324,43.57465471385947,44.11271667480469,767700,0.0,0.0,SIMO,SIMO,-0.0344129524230683
2017-12-07,44.60875197004884,44.89459784422944,43.810064685682214,44.79370880126953,438500,0.0,0.0,SIMO,SIMO,0.015437546761970289
2017-12-08,44.97866327010985,46.155676302075214,44.56670774679122,44.89459228515625,425700,0.0,0.0,SIMO,SIMO,0.0022521797499353013
2017-12-11,44.97866093656054,45.28972741327333,43.78483633522357,44.43218994140625,436800,0.0,0.0,SIMO,SIMO,-0.01029973366976955
