date,open,high,low,close,volume,dividends,stock splits,symbol,ts_code,daily_return
2017-10-03,37.72393670047395,38.23135675851776,37.61895450607046,38.01264190673828,31058300,0.0,0.0,GM,GM,
2017-10-04,37.925148438558864,38.44131554705429,37.79392154900306,38.30133819580078,13458700,0.0,0.0,GM,GM,0.007594744131986353
2017-10-05,38.40632498099017,38.563799923517976,38.21385486516209,38.362579345703125,16661400,0.0,0.0,GM,GM,0.001598929770789459
2017-10-06,38.52879851332779,39.517386969106056,38.4938033456924,39.30742263793945,21024600,0.0,0.0,GM,GM,0.024629295223397296
2017-10-09,39.39491486481682,39.744859934436526,39.30743026607365,39.65737533569336,10932400,0.0,0.0,GM,GM,0.008902967283744845
2017-10-10,39.62236993895059,39.71860497513417,39.246180254227156,39.5523796081543,14029200,0.0,0.0,GM,GM,-0.002647571268907467
2017-10-11,39.63112980339993,39.88483982812254,39.43866300647564,39.77985763549805,13353900,0.0,0.0,GM,GM,0.005751310783254526
2017-10-12,39.34243604643229,39.74487064885679,38.62505146391056,39.27244567871094,15665100,0.0,0.0,GM,GM,-0.01275549956554678
2017-10-13,39.613617108307295,40.339751728912184,39.3686576398249,40.13853454589844,13932100,0.0,0.0,GM,GM,0.022053346875134716
2017-10-16,40.042312168795306,40.1210496424488,39.674869512637834,40.03356170654297,8861500,0.0,0.0,GM,GM,-0.0026152633757825505
2017-10-17,40.068562558430266,40.29602788669268,39.33368047930954,39.386173248291016,14700500,0.0,0.0,GM,GM,-0.01617114317725432
2017-10-18,39.61363307298899,39.88484069190986,39.39491822017907,39.473655700683594,10883700,0.0,0.0,GM,GM,0.002221146285044995
2017-10-19,39.14995527088558,39.718615173995445,38.98373319854621,39.674869537353516,13051600,0.0,0.0,GM,GM,0.005097420877246961
2017-10-20,39.80609725110961,40.00731448508698,39.491147376249984,39.9023323059082,12203200,0.0,0.0,GM,GM,0.005733169918568537
2017-10-23,39.84110697187896,40.07731946428036,39.49991226196289,39.49991226196289,10780800,0.0,0.0,GM,GM,-0.010085125873349754
2017-10-24,40.16478647695237,40.90841547569508,39.998564427332596,40.663455963134766,27909100,0.0,0.0,GM,GM,0.029456867991383584
2017-10-25,39.981075761118035,40.2172882026316,39.167456241679226,39.473655700683594,18062600,0.0,0.0,GM,GM,-0.02925969360621583
2017-10-26,39.534886701260845,39.928574015244905,39.456149238464036,39.587379455566406,9650200,0.0,0.0,GM,GM,0.002881003871167742
2017-10-27,39.4911482163218,39.517392927343955,38.581293744555474,39.05371856689453,11875000,0.0,0.0,GM,GM,-0.013480581337061315
2017-10-30,37.65394419971484,38.327586245571034,36.971551692160496,37.94264602661133,23791100,0.0,0.0,GM,GM,-0.028449852691493693
2017-10-31,37.82016669622147,38.20510358228329,37.58395428750512,37.6014518737793,13239000,0.0,0.0,GM,GM,-0.00899236580898266
2017-11-01,37.37398910697063,37.94264563045139,36.65660477208378,37.73268127441406,14701300,0.0,0.0,GM,GM,0.003490008871872119
2017-11-02,37.88141087623942,37.88141087623942,37.14652885598639,37.26900863647461,12006300,0.0,0.0,GM,GM,-0.012288356466569561
2017-11-03,37.26900015950594,37.3827327886577,36.91030802509467,37.04153823852539,9848700,0.0,0.0,GM,GM,-0.006103473268312176
2017-11-06,37.00654687032655,37.05903962855414,36.175429887001336,36.86656951904297,14173700,0.0,0.0,GM,GM,-0.004723581357656603
2017-11-07,36.87532342756072,37.10278539316168,36.3854009836124,36.48163604736328,8881300,0.0,0.0,GM,GM,-0.010441260922876339
2017-11-08,36.62161337635693,36.84907534173818,36.33290818538314,36.840328216552734,14221600,0.0,0.0,GM,GM,0.009832129478068774
2017-11-09,36.7790883282838,36.88407051712717,36.41164566134657,36.840328216552734,8897200,0.0,0.0,GM,GM,0.0
2017-11-10,36.866567850736494,37.618947331334894,36.79658084692344,37.321495056152344,14102100,0.0,0.0,GM,GM,0.013060872768864584
2017-11-13,37.26900772105861,38.170115138975476,37.22526542014776,38.11762237548828,11731100,0.0,0.0,GM,GM,0.021331603091947926
2017-11-14,37.7501724640227,38.012629533261006,37.391480357355036,37.61894226074219,9433400,0.0,0.0,GM,GM,-0.013082665803068827
2017-11-15,37.38273115146398,37.65393868992575,36.83156895144552,37.496463775634766,13620000,0.0,0.0,GM,GM,-0.0032557663173650164
2017-11-16,37.65394837756617,38.17011554335928,37.44398065871657,38.14386749267578,11247400,0.0,0.0,GM,GM,0.01726572726737241
2017-11-17,38.08262551015054,38.61629023462626,38.047633673368594,38.38882827758789,10594200,0.0,0.0,GM,GM,0.0064220227526521345
2017-11-20,38.9137382908948,39.44740295709981,38.72126819165413,39.2636833190918,15132200,0.0,0.0,GM,GM,0.022789313473645656
2017-11-21,39.42991854706314,39.52615362883944,39.07122627510326,39.34243392944336,12011200,0.0,0.0,GM,GM,0.0020056857557546603
2017-11-22,39.27243470876581,39.32492746989404,38.677530098606354,38.747520446777344,9836900,0.0,0.0,GM,GM,-0.015121420391349782
2017-11-24,38.88749692441089,38.966234395656926,38.70377727061128,38.896244049072266,3805900,0.0,0.0,GM,GM,0.003838274051605639
2017-11-27,38.90500048066853,38.922498069999534,38.38883327603755,38.642539978027344,8652600,0.0,0.0,GM,GM,-0.006522585335613451
2017-11-28,38.800013568886094,39.438663876188436,38.616293893410855,39.298683166503906,15933300,0.0,0.0,GM,GM,0.016979815220470762
2017-11-29,39.456157015143035,39.67487186187293,38.31009335416558,38.32759094238281,19442900,0.0,0.0,GM,GM,-0.024710553786412848
2017-11-30,38.493810921507446,38.95748530330026,37.35649444810943,37.697689056396484,32515100,0.0,0.0,GM,GM,-0.016434685053210107
2017-12-01,37.78517582315671,37.83766858795226,36.630361696244414,37.43523406982422,19324700,0.0,0.0,GM,GM,-0.006962097495674779
2017-12-04,37.79392325648958,37.98639003733152,37.54896037773632,37.66269302368164,14024600,0.0,0.0,GM,GM,0.006076066024675253
2017-12-05,37.627700841332235,37.67144648062826,37.199021609750375,37.4439811706543,11303900,0.0,0.0,GM,GM,-0.005807121994431452
2017-12-06,37.24276358742391,37.347745778708045,36.86657378655509,36.87532424926758,12868500,0.0,0.0,GM,GM,-0.015186871256958834
2017-12-07,37.3079057282959,37.42267306824986,36.67227874261765,37.096031188964844,16450000,0.38,0.0,GM,GM,0.00598522031170079
2017-12-08,37.06954771346973,37.34321927407944,36.93712360062401,37.096031188964844,13658700,0.0,0.0,GM,GM,0.0
2017-12-11,36.97243513186855,37.01657537785034,36.689933516363254,36.78704071044922,14112500,0.0,0.0,GM,GM,-0.008329475380847273
2017-12-12,36.76937749295248,36.87531472857252,36.42507558374035,36.66343688964844,8853100,0.0,0.0,GM,GM,-0.0033599827116747027
2017-12-13,36.672273376278135,36.99891520776488,36.53984928281034,36.54867935180664,9969200,0.0,0.0,GM,GM,-0.003130026739915359
2017-12-14,36.53102294434129,36.58398988810683,35.93070621864462,36.02781677246094,9276400,0.0,0.0,GM,GM,-0.01425120109900646
2017-12-15,36.12492993461543,36.48688873787553,36.12492993461543,36.15141677856445,24491700,0.0,0.0,GM,GM,0.003430682655130912
2017-12-18,36.43391523275043,37.36087386549064,36.41625846088963,37.21079635620117,22135100,0.0,0.0,GM,GM,0.02930395741128633
2017-12-19,37.705169736727676,37.784623520441095,37.466808385587434,37.51095199584961,13259200,0.0,0.0,GM,GM,0.00806635893451979
2017-12-20,37.73165088885667,37.76696105698536,37.42266250202073,37.53742980957031,8636700,0.0,0.0,GM,GM,0.0007058688812704439
2017-12-21,37.59040519173581,37.740482687689486,37.193136279381115,37.21961975097656,10144700,0.0,0.0,GM,GM,-0.008466484258672469
2017-12-22,37.34321927407944,37.35204934436786,36.9106401251289,37.096031188964844,4907100,0.0,0.0,GM,GM,-0.0033205218870747677
2017-12-26,36.954776190364804,37.157824004108214,36.75172837662139,36.90180587768555,3368900,0.0,0.0,GM,GM,-0.005235743691553552
2017-12-27,36.86649239600381,36.94594618130987,36.46039676785491,36.4692268371582,4933600,0.0,0.0,GM,GM,-0.011722435535029607
2017-12-28,36.49571520098201,36.58399569973832,36.37212115564912,36.531028747558594,5005300,0.0,0.0,GM,GM,0.001694631769309174
2017-12-29,36.654618263884444,36.71641527891532,36.18672561645508,36.18672561645508,6581400,0.0,0.0,GM,GM,-0.009424950320527925
2018-01-02,36.407429763418,36.96360289196899,36.327975978241476,36.90180587768555,6934600,0.0,0.0,GM,GM,0.019760844592838778
2018-01-03,37.26376070867603,37.9170477512846,37.254934007202856,37.80228042602539,14591600,0.0,0.0,GM,GM,0.024401910067072263
2018-01-04,38.040639449976986,39.06470851011093,37.97001237177526,38.96759796142578,17298700,0.0,0.0,GM,GM,0.030826646495064836
2018-01-05,39.28541525291288,39.40900927892396,38.80869255171187,38.85283279418945,9643300,0.0,0.0,GM,GM,-0.0029451434843362767
2018-01-08,38.87931951471863,39.36486891585385,38.42025358545191,39.03822708129883,13099600,0.0,0.0,GM,GM,0.004771705787617764
2018-01-09,39.11769160235184,39.36487972146962,38.61448529261318,38.88815689086914,7768100,0.0,0.0,GM,GM,-0.0038441856008768482
2018-01-10,38.70274904459109,38.967593824360954,37.61688309015577,37.961181640625,18281500,0.0,0.0,GM,GM,-0.023836955113236358
2018-01-11,38.208377075131295,39.08236872260719,38.10243981618065,39.011741638183594,11245800,0.0,0.0,GM,GM,0.027674586305140636
2018-01-12,38.97643076357493,39.46198017336927,38.54384829846218,38.90580368041992,14914600,0.0,0.0,GM,GM,-0.0027155403300421765
2018-01-16,39.81510620123589,40.185891659090274,38.623302776908055,39.011741638183594,20169300,0.0,0.0,GM,GM,0.002722934568679447
2018-01-17,38.85283425663946,39.08236891445816,38.31431788984738,38.87049102783203,15855700,0.0,0.0,GM,GM,-0.0036207204400562354
2018-01-18,39.0029071243543,39.011733824296925,38.526184503034806,38.72040557861328,11868100,0.0,0.0,GM,GM,-0.0038611667938870387
2018-01-19,38.888147155303656,38.923460697104254,37.996502114789145,38.09361267089844,14470800,0.0,0.0,GM,GM,-0.016187663800222296
2018-01-22,38.10243772555856,38.33196900197173,37.802279368597,38.21720504760742,19562100,0.0,0.0,GM,GM,0.003244438320322507
2018-01-23,38.26134402315009,38.349624503230075,37.88173189697413,38.29665756225586,14127600,0.0,0.0,GM,GM,0.0020789724039071977
2018-01-24,38.40260376412835,39.1971417408051,38.35846351379858,38.98526382446289,11321700,0.0,0.0,GM,GM,0.017980844962451892
2018-01-25,39.25010699230772,39.26776376521111,37.94353610662297,38.10244369506836,11386000,0.0,0.0,GM,GM,-0.022644969990957664
2018-01-26,38.24367985283805,38.46438437801264,37.952351630803165,38.393760681152344,9131200,0.0,0.0,GM,GM,0.007645624737756318
2018-01-29,38.376120306898905,38.649791879693176,37.943537771003584,37.978851318359375,8177500,0.0,0.0,GM,GM,-0.010806687217713717
2018-01-30,37.81111361769589,38.15541225422168,37.53743870184171,37.696346282958984,8459700,0.0,0.0,GM,GM,-0.007438482881756525
2018-01-31,37.76696469449516,37.917045552312544,37.20196153780857,37.44032287597656,19781200,0.0,0.0,GM,GM,-0.00679173002764355
2018-02-01,37.184310008367,37.60806243559887,37.03423249708454,37.457984924316406,9629800,0.0,0.0,GM,GM,0.00047173867592831265
2018-02-02,37.27258444833285,37.316724683572296,36.06312112313079,36.1955451965332,13982100,0.0,0.0,GM,GM,-0.03370282011522918
2018-02-05,36.177884476536974,36.787027738735375,34.880140822632,34.9066276550293,19660600,0.0,0.0,GM,GM,-0.035609839125378295
2018-02-06,35.3657044034072,37.28141861129591,35.31273408990583,36.954776763916016,26988300,0.0,0.0,GM,GM,0.058675078243819456
2018-02-07,36.90180926940542,38.45557157395923,36.769388527063285,37.422672271728516,19402900,0.0,0.0,GM,GM,0.012661299804396897
2018-02-08,37.484460402977874,37.705164955563966,35.966015371210815,35.9748420715332,18035400,0.0,0.0,GM,GM,-0.03868858401352315
2018-02-09,36.336801603160524,37.05188564856083,35.51578030322542,36.601646423339844,19598000,0.0,0.0,GM,GM,0.017423408018311548
2018-02-12,37.03423270867435,37.62571942266334,36.73407431670958,37.078372955322266,19392000,0.0,0.0,GM,GM,0.013024729173888305
2018-02-13,36.813524171057644,37.14016600254439,36.52219251250233,36.54867935180664,8937200,0.0,0.0,GM,GM,-0.0142857833636304
2018-02-14,36.22203628994984,36.998917390920006,36.133755800885304,36.91063690185547,10271600,0.0,0.0,GM,GM,0.009903437182086305
2018-02-15,37.13134398220699,37.26376472468386,36.54868395932774,36.94594955444336,9715800,0.0,0.0,GM,GM,0.0009567066718947359
2018-02-16,36.94593801957155,37.325550091319776,36.19554394342773,36.27499771118164,14871800,0.0,0.0,GM,GM,-0.018160362674479624
2018-02-20,36.107275273866456,36.486887469650966,35.83360034714028,35.99250793457031,7814600,0.0,0.0,GM,GM,-0.007787451259418043
2018-02-21,35.97484792233969,36.46039734346008,35.76297003561701,35.80711364746094,9098500,0.0,0.0,GM,GM,-0.005150913280241531
2018-02-22,35.89539571310045,36.37211845341114,35.75414490497339,36.1161003112793,8805900,0.0,0.0,GM,GM,0.008629197730386506
2018-02-23,36.23969434742987,36.31914813748165,35.82477199287937,36.1161003112793,6424200,0.0,0.0,GM,GM,0.0
2018-02-26,36.266179905186526,36.74289926093345,35.97484822941666,36.67227554321289,9397100,0.0,0.0,GM,GM,0.01539964800019944
2018-02-27,36.628129864155646,36.6722701021425,35.418666463673304,35.462806701660156,12738800,0.0,0.0,GM,GM,-0.03298046885930361
2018-02-28,34.977260579324884,35.44515657472161,34.71241575925547,34.73889923095703,23145200,0.0,0.0,GM,GM,-0.020413146562063722
2018-03-01,34.95077411748339,34.95077411748339,33.02623009251291,33.36170196533203,26183100,0.0,0.0,GM,GM,-0.039644240206601955
2018-03-02,33.079201631060194,33.202795649942885,32.30232061106044,33.043888092041016,24060500,0.0,0.0,GM,GM,-0.009526308748314838
2018-03-05,32.95561053018444,33.45881671886788,32.76138941606636,33.31756591796875,12011100,0.0,0.0,GM,GM,0.008282252535338097
2018-03-06,33.564755761644705,33.617726077679116,33.14100333642416,33.48530197143555,12168500,0.0,0.0,GM,GM,0.005034463018090296
2018-03-07,33.00857747571865,33.40584640564893,32.88498344589251,33.31756591796875,15052000,0.0,0.0,GM,GM,-0.005009244163600046
2018-03-08,33.567264324818254,33.825886469977554,33.19271092998466,33.74562454223633,13096700,0.38,0.0,GM,GM,0.012847836043050176
2018-03-09,33.754541022235045,33.95965748352565,33.585100686753876,33.74562454223633,12272200,0.0,0.0,GM,GM,0.0
2018-03-12,33.77238273701039,33.879400925586275,33.51376395279884,33.73671340942383,11347200,0.0,0.0,GM,GM,-0.0002640677994074636
2018-03-13,33.86156273000606,34.36988719147199,33.77238091101468,33.89723205566406,12406400,0.0,0.0,GM,GM,0.00475798114333803
2018-03-14,34.316379457088,34.43231412539205,33.57618904085141,33.61185836791992,13364000,0.0,0.0,GM,GM,-0.008418790279852817
2018-03-15,33.86156913687621,33.87940550404927,33.52268496446658,33.75455093383789,8140100,0.0,0.0,GM,GM,0.004245304271963679
2018-03-16,33.81696817214097,34.022084643039925,33.61185510318036,33.83480453491211,10305000,0.0,0.0,GM,GM,0.002377563879653488
2018-03-19,33.82589171005072,33.87048092082814,32.586293279969276,33.005435943603516,12103100,0.0,0.0,GM,GM,-0.02451229149123113
