date,open,high,low,close,volume,dividends,stock splits,symbol,ts_code,daily_return
2017-10-03,17.434007198405386,17.614032782488845,17.33925679587653,17.462432861328125,2935800,0.0,0.0,MRVL,MRVL,
2017-10-04,17.386632882344472,17.566658466237378,17.339256777523385,17.538232803344727,5757200,0.0,0.0,MRVL,MRVL,0.004340743504558597
2017-10-05,17.538237665873712,17.538237665873712,17.348736808476904,17.405588150024414,3755600,0.0,0.0,MRVL,MRVL,-0.007563170976668476
2017-10-06,17.25348640676665,17.41508938567208,17.243980135873887,17.30101776123047,3496100,0.06,0.0,MRVL,MRVL,-0.006007862985876633
2017-10-09,17.40558549596045,17.62422613013372,17.40558549596045,17.538671493530273,4695600,0.0,0.0,MRVL,MRVL,0.013736401845234614
2017-10-10,17.57669630100238,17.633732125996755,17.500647929964476,17.5957088470459,6872200,0.0,0.0,MRVL,MRVL,0.0032520908745377053
2017-10-11,17.53867302205152,17.633732125996755,17.51015420298624,17.5957088470459,4284500,0.0,0.0,MRVL,MRVL,0.0
2017-10-12,17.567187513658272,17.57669378531944,17.348548704859244,17.386573791503906,3503400,0.0,0.0,MRVL,MRVL,-0.011885571497001868
2017-10-13,17.491141119751973,17.491141119751973,17.329538109617587,17.3770694732666,3585700,0.0,0.0,MRVL,MRVL,-0.0005466469904467086
2017-10-16,17.39607834233091,17.415090885754122,17.215464619218228,17.36756134033203,4711800,0.0,0.0,MRVL,MRVL,-0.0005471655015938381
2017-10-17,17.339036334535937,17.510145537980794,17.291506806083603,17.453109741210938,2638000,0.0,0.0,MRVL,MRVL,0.004925757808048825
2017-10-18,17.51965894914372,17.60521358574717,17.28200758371993,17.538671493530273,4107200,0.0,0.0,MRVL,MRVL,0.004902378635556426
2017-10-19,17.434100698067997,17.538667857378922,17.234472649668557,17.500642776489258,1864700,0.0,0.0,MRVL,MRVL,-0.002168278085090125
2017-10-20,17.5576785846881,17.586197395355352,17.472123965822007,17.500642776489258,1609400,0.0,0.0,MRVL,MRVL,0.0
2017-10-23,17.77632460029309,17.94743207712536,17.538673211589366,17.55768394470215,5799800,0.0,0.0,MRVL,MRVL,0.0032593756093073356
2017-10-24,17.58619645218781,17.671751066465514,17.576690182475225,17.66224479675293,18445300,0.0,0.0,MRVL,MRVL,0.00595527589971967
2017-10-25,17.576695050332006,17.652743415958685,17.462623408460022,17.48163414001465,8466000,0.0,0.0,MRVL,MRVL,-0.010225804183819576
2017-10-26,17.500648546305776,17.538673639731993,17.358058072229955,17.49114227294922,3913800,0.0,0.0,MRVL,MRVL,0.000543892685227032
2017-10-27,17.67175187922273,17.67175187922273,17.339039676522436,17.52916145324707,4527000,0.0,0.0,MRVL,MRVL,0.0021736247813071152
2017-10-30,17.44360796670216,17.519656319698584,17.091883200883856,17.32953453063965,6057400,0.0,0.0,MRVL,MRVL,-0.011388275653678948
2017-10-31,17.415093474107152,17.58620276407563,17.377070194745386,17.55768394470215,3739100,0.0,0.0,MRVL,MRVL,0.013165351536656544
2017-11-01,17.652742145472835,17.652742145472835,17.24398152972235,17.386573791503906,3327800,0.0,0.0,MRVL,MRVL,-0.009745599347678935
2017-11-02,17.3675632005368,17.472128574292366,16.96830881156574,17.3770694732666,3118100,0.0,0.0,MRVL,MRVL,-0.0005466469904467086
2017-11-03,17.424599558926577,17.633732125996755,17.329538641845154,17.5957088470459,7349100,0.0,0.0,MRVL,MRVL,0.012582062476970579
2017-11-06,19.116670123000556,20.038756464628506,18.97407790016901,19.202224731445312,19713400,0.0,0.0,MRVL,MRVL,0.09130157235291647
2017-11-07,19.37334016747497,19.59198082033622,19.012110858935124,19.13568878173828,10689000,0.0,0.0,MRVL,MRVL,-0.0034650125512838414
2017-11-08,19.154701232910156,19.230749603443915,19.08815913533514,19.154701232910156,6884100,0.0,0.0,MRVL,MRVL,0.000993559802771271
2017-11-09,19.13568878173828,19.192726419773138,18.869520390120346,19.13568878173828,8638200,0.0,0.0,MRVL,MRVL,-0.0009925736215196101
2017-11-10,19.192726419773138,19.192726419773138,19.069146683833797,19.13568878173828,6943700,0.0,0.0,MRVL,MRVL,0.0
2017-11-13,19.021617131940932,19.14519505474409,19.021617131940932,19.13568878173828,4383100,0.0,0.0,MRVL,MRVL,0.0
2017-11-14,19.078649292902767,19.16420392038863,19.050132292498034,19.12618064880371,3513800,0.0,0.0,MRVL,MRVL,-0.000496879576325715
2017-11-15,18.96457409973127,19.116670783748916,18.77445233814146,19.078645706176758,2887400,0.0,0.0,MRVL,MRVL,-0.0024853337683981014
2017-11-16,19.116671663772273,19.325804160639944,19.097659124110965,19.259262084960938,6779400,0.0,0.0,MRVL,MRVL,0.009466939192948276
2017-11-17,19.306795306570823,19.43988129647001,19.240253218189192,19.287784576416016,5145200,0.0,0.0,MRVL,MRVL,0.0014809753005724513
2017-11-20,19.77259370528759,20.732705479346972,19.126183487323427,20.52357292175293,67009800,0.0,0.0,MRVL,MRVL,0.06407103627899113
2017-11-21,21.055907588140638,22.253670515331713,20.85628134017668,22.13009262084961,35752100,0.0,0.0,MRVL,MRVL,0.07827680420078953
2017-11-22,22.60539404558671,23.023659060266013,22.272681837396068,22.652923583984375,27234900,0.0,0.0,MRVL,MRVL,0.023625340033244457
2017-11-24,22.66243189923305,22.719467713084,22.348732203349083,22.624406814575195,7191700,0.0,0.0,MRVL,MRVL,-0.001258856028161448
2017-11-27,22.443795510686055,22.529350147212728,22.04454114460692,22.225154876708984,14996600,0.0,0.0,MRVL,MRVL,-0.017646957161723376
2017-11-28,22.690951910640255,22.700456369170652,22.073056944280683,22.120588302612305,12527700,0.0,0.0,MRVL,MRVL,-0.004704874934584158
2017-11-29,22.367750278387188,22.68145005186544,20.932335613945394,21.11294937133789,19878600,0.0,0.0,MRVL,MRVL,-0.04555208557248991
2017-11-30,21.198499495960515,21.77836936472638,21.09393413587348,21.23652458190918,12993300,0.0,0.0,MRVL,MRVL,0.005853052948587623
2017-12-01,21.036901233812877,21.18899979864725,20.60912979958816,21.08443260192871,13143300,0.0,0.0,MRVL,MRVL,-0.007161811217925584
2017-12-04,21.322081315300842,21.502696865100557,20.799247210751368,21.198501586914062,11231300,0.0,0.0,MRVL,MRVL,0.005410104560979123
2017-12-05,21.112952748131118,21.531219784044936,20.70419380039016,20.884807586669922,7287900,0.0,0.0,MRVL,MRVL,-0.01479793271981944
2017-12-06,20.72319593865126,20.875292649849243,20.53307595622169,20.74220848083496,6346600,0.0,0.0,MRVL,MRVL,-0.006827886981634279
2017-12-07,21.008385283961285,21.179494591521937,20.732708774416594,20.9133243560791,6482300,0.0,0.0,MRVL,MRVL,0.00824964590449695
2017-12-08,20.951345443725586,21.09393590169788,20.770729896621457,20.951345443725586,7064400,0.0,0.0,MRVL,MRVL,0.0018180317485216868
2017-12-11,20.93232894893435,21.227016081550286,20.894303866978383,20.960845947265625,5280500,0.0,0.0,MRVL,MRVL,0.00045345553418307816
2017-12-12,20.913319473324236,21.15097083097565,20.85628365516597,21.093935012817383,4662200,0.0,0.0,MRVL,MRVL,0.006349412895194639
2017-12-13,21.208006788301805,21.407634872869664,20.69468079523699,20.75171661376953,6337400,0.0,0.0,MRVL,MRVL,-0.016223544769617848
2017-12-14,20.789742734826792,20.951345739647525,20.50456000171817,20.580608367919922,8099900,0.0,0.0,MRVL,MRVL,-0.008245498386194816
2017-12-15,20.63764250968226,20.751715956269,20.36196788456285,20.55208969116211,8084300,0.0,0.0,MRVL,MRVL,-0.0013857062069295711
2017-12-18,20.64714756668024,21.25553622412557,20.53307593994011,21.065414428710938,7887500,0.0,0.0,MRVL,MRVL,0.02497676612269606
2017-12-19,21.217508095368256,21.312568979435643,20.932327256301644,21.265039443969727,5598800,0.0,0.0,MRVL,MRVL,0.009476434272601475
2017-12-20,21.436149055050084,21.455161596437968,20.99887148194327,21.208003997802734,4402200,0.0,0.0,MRVL,MRVL,-0.002682122754452121
2017-12-21,21.284051891348533,21.284051891348533,20.884797596489392,20.960845947265625,5575000,0.0,0.0,MRVL,MRVL,-0.01165399867723127
2017-12-22,20.913322401103194,21.112948699171973,20.82776775532051,20.922828674316406,5235200,0.0,0.0,MRVL,MRVL,-0.0018137279881196289
2017-12-26,20.789381127463653,20.95142589886732,20.64640087459984,20.817977905273438,3675100,0.06,0.0,MRVL,MRVL,-0.005011309449361234
2017-12-27,20.779845525752787,21.08487231904922,20.703589281951746,21.018146514892578,4091800,0.0,0.0,MRVL,MRVL,0.00961518023171859
2017-12-28,21.018141648457107,21.11346238566139,20.789372970021937,20.865629196166992,3606500,0.0,0.0,MRVL,MRVL,-0.007256459013525229
2017-12-29,20.96095465282171,20.96095465282171,20.465288162231445,20.465288162231445,4256400,0.0,0.0,MRVL,MRVL,-0.01918662649334768
2018-01-02,20.646397977996557,21.304109230607015,20.408096983958654,21.161128997802734,5619900,0.0,0.0,MRVL,MRVL,0.034001027987256016
2018-01-03,21.246913481783817,21.87602784158571,21.189719945007674,21.81883430480957,9014000,0.0,0.0,MRVL,MRVL,0.031080823101410582
2018-01-04,21.895096242219886,22.37169826435165,21.76164825781257,22.31450653076172,9221200,0.0,0.0,MRVL,MRVL,0.022717630970912506
2018-01-05,22.400292769722316,22.533740740603484,21.923690795898438,21.923690795898438,5855400,0.0,0.0,MRVL,MRVL,-0.017513976135861253
2018-01-08,21.89509191528145,22.152457392713863,21.81883567953393,22.08573341369629,5529500,0.0,0.0,MRVL,MRVL,0.007391210691046979
2018-01-09,22.190588904734625,22.21918386003472,21.914158882885204,22.06667137145996,9580000,0.0,0.0,MRVL,MRVL,-0.0008630930148104676
2018-01-10,21.76164196903292,22.133390857076407,21.542405538550444,22.0571346282959,9401900,0.0,0.0,MRVL,MRVL,-0.00043217860109145967
2018-01-11,22.161992131342252,22.161992131342252,21.78071090990536,22.06667137145996,5198600,0.0,0.0,MRVL,MRVL,0.0004323654601912086
2018-01-12,22.05714075706355,23.07706878218315,22.047608498555878,22.724384307861328,18423600,0.0,0.0,MRVL,MRVL,0.029805715838593816
2018-01-16,22.94361692057288,22.94361692057288,22.37169423344467,22.476547241210938,11257200,0.0,0.0,MRVL,MRVL,-0.010906217008689323
2018-01-17,22.543271894671015,22.743445659285737,22.38122715877992,22.486080169677734,7143400,0.0,0.0,MRVL,MRVL,0.00042412779705403025
2018-01-18,22.52421018210005,22.7815757037218,22.495615225092553,22.581403732299805,8558500,0.0,0.0,MRVL,MRVL,0.004239225418693149
2018-01-19,22.724381376750443,22.781573102327176,22.53373986737177,22.571868896484375,7587400,0.0,0.0,MRVL,MRVL,-0.00042224282991720763
2018-01-22,22.648123094055382,22.695782558055708,22.4193543942882,22.51467514038086,3620000,0.0,0.0,MRVL,MRVL,-0.002533851156313549
2018-01-23,22.571876219693756,22.695791968328543,22.19059489532584,22.428895950317383,10855700,0.0,0.0,MRVL,MRVL,-0.0038099235067189374
2018-01-24,22.266842998600737,22.447950424985134,21.685388055755837,22.200119018554688,9443600,0.0,0.0,MRVL,MRVL,-0.010200097778752193
2018-01-25,22.4860819581862,22.505146474064375,21.895094692608883,21.933223724365234,9009500,0.0,0.0,MRVL,MRVL,-0.01202224609545488
2018-01-26,22.142924392754907,22.362160835908835,22.07620041597693,22.29543685913086,6143000,0.0,0.0,MRVL,MRVL,0.016514359189399475
2018-01-29,22.276374381303906,22.390757823153596,22.152456864859378,22.352630615234375,6760200,0.0,0.0,MRVL,MRVL,0.0025652673443845586
2018-01-30,21.971350596221274,22.276377391249873,21.85696713891629,22.038076400756836,4374000,0.0,0.0,MRVL,MRVL,-0.014072357741336972
2018-01-31,22.247784899395757,22.438426455715483,22.171528640486393,22.238252639770508,11191500,0.0,0.0,MRVL,MRVL,0.00908319924904144
2018-02-01,22.028538284290086,22.352627690613684,21.475680206107207,21.542404174804688,7988300,0.0,0.0,MRVL,MRVL,-0.03129060885482415
2018-02-02,21.332704082273583,21.532877861697177,20.846571656728337,21.3803653717041,9945300,0.0,0.0,MRVL,MRVL,-0.007521853261396982
2018-02-05,21.103938587101315,21.504284389316172,20.312779242021065,20.350908279418945,9355000,0.0,0.0,MRVL,MRVL,-0.04814964919390918
2018-02-06,19.89336540326278,20.80844023825324,19.550211431095317,20.684524536132812,13422400,0.0,0.0,MRVL,MRVL,0.01639318757341446
2018-02-07,20.570139576851748,20.9228258110265,20.217453342676997,20.331838607788086,8684400,0.0,0.0,MRVL,MRVL,-0.017050714785763477
2018-02-08,20.436692710354926,20.522481209259205,19.41676479903982,19.76944923400879,11758100,0.0,0.0,MRVL,MRVL,-0.027660527147991165
2018-02-09,20.064940761931478,20.446223764892917,19.578808387530632,20.303241729736328,9943700,0.0,0.0,MRVL,MRVL,0.027000878446794108
2018-02-12,20.474810311950446,21.008605569721272,20.38902185331197,20.89422035217285,6651400,0.0,0.0,MRVL,MRVL,0.02910759918555117
2018-02-13,20.82750934319722,21.313643638237203,20.62733554260782,21.275514602661133,10983200,0.0,0.0,MRVL,MRVL,0.018248790529703962
2018-02-14,21.11347162264856,21.389901699667902,20.97049136333526,21.218324661254883,6607300,0.0,0.0,MRVL,MRVL,-0.002688063836495669
2018-02-15,21.494746393476106,21.85696487971725,21.380362947994126,21.67585563659668,6664200,0.0,0.0,MRVL,MRVL,0.02156301134260885
2018-02-16,21.59006701759195,21.837900238814417,21.380362823369275,21.618663787841797,5159300,0.0,0.0,MRVL,MRVL,-0.0026385047821744223
2018-02-20,21.656796660597603,22.30497574437425,21.475689189260194,22.114336013793945,6183700,0.0,0.0,MRVL,MRVL,0.022927976993236454
2018-02-21,22.181049769226483,22.467010142112937,21.885555323406546,22.104793548583984,7041700,0.0,0.0,MRVL,MRVL,-0.0004315058432687868
2018-02-22,22.14292435301463,22.724379266336904,21.914155653861283,22.047603607177734,6857200,0.0,0.0,MRVL,MRVL,-0.002587218979474004
2018-02-23,22.209646765202766,22.26684029953134,21.933218621648848,22.1619873046875,4075100,0.0,0.0,MRVL,MRVL,0.0051880331099805055
2018-02-26,22.228717469952635,22.428891259690776,22.123864445894924,22.362165451049805,3700700,0.0,0.0,MRVL,MRVL,0.009032499820986972
2018-02-27,22.43842397173768,22.82923748264593,22.28590965270996,22.28590965270996,7094100,0.0,0.0,MRVL,MRVL,-0.003410036407554773
2018-02-28,22.37169590653474,22.705317650484112,22.161991693411366,22.39076042175293,6577600,0.0,0.0,MRVL,MRVL,0.0047048009561601045
2018-03-01,22.467014278025243,22.638591260579098,21.933220635262625,22.219181060791016,4287400,0.0,0.0,MRVL,MRVL,-0.007662953724216659
2018-03-02,21.923689929614603,22.41935639914801,21.704453466660578,22.32403564453125,5972100,0.0,0.0,MRVL,MRVL,0.004719102088117211
2018-03-05,22.13339492058408,22.49561343736074,21.933222965069803,22.39076042175293,6061300,0.0,0.0,MRVL,MRVL,0.0029889209229079228
2018-03-06,22.447951705251715,22.571869233626387,22.181055769845724,22.467016220092773,7222900,0.0,0.0,MRVL,MRVL,0.003405681491092105
2018-03-07,22.40029445951868,22.73391622998105,22.238249703470807,22.581403732299805,14781100,0.0,0.0,MRVL,MRVL,0.00509135307895181
2018-03-08,22.78156775460966,23.277234108168358,22.51467188584094,23.181913375854492,17008200,0.0,0.0,MRVL,MRVL,0.026593105135255035
2018-03-09,23.07706362532033,24.00167249493244,22.733911486187885,23.20098114013672,17310000,0.0,0.0,MRVL,MRVL,0.000822527630617742
2018-03-12,23.41068928037367,23.47741326819473,22.562338318490525,23.229581832885742,17785100,0.0,0.0,MRVL,MRVL,0.0012327363474964326
2018-03-13,22.972215374850933,23.39162561856167,21.73304915890836,21.866498947143555,22302700,0.0,0.0,MRVL,MRVL,-0.05867875261587763
2018-03-14,21.923690484914054,22.36216342192807,21.418491745313705,22.30497169494629,19368200,0.0,0.0,MRVL,MRVL,0.02005226117187875
2018-03-15,22.419350685995763,22.657651602765043,21.942748852457207,22.104793548583984,10865800,0.0,0.0,MRVL,MRVL,-0.008974597641281057
2018-03-16,22.257309153977577,22.35262989785447,21.971346922346903,22.095264434814453,6957900,0.0,0.0,MRVL,MRVL,-0.00043108811437608807
2018-03-19,21.856962523050964,22.190584202903736,21.494744075865018,21.75210952758789,11467700,0.0,0.0,MRVL,MRVL,-0.015530699269924564
2018-03-20,21.828370365543908,22.181056631434206,21.733049605728237,22.038076400756836,7531100,0.0,0.0,MRVL,MRVL,0.013146627126268351
2018-03-21,21.961819826488625,22.285907496043997,21.847434552810306,21.923690795898438,5938400,0.0,0.0,MRVL,MRVL,-0.00519036247893534
