date,open,high,low,close,volume,dividends,stock splits,symbol,ts_code,daily_return
2024-01-08,2.0299999713897705,2.1600000858306885,2.0,2.0999999046325684,11855900,0.0,0.0,SOUN,SOUN,
2024-01-09,2.0799999237060547,2.0799999237060547,1.850000023841858,1.8700000047683716,20448400,0.0,0.0,SOUN,SOUN,-0.10952376681390341
2024-01-10,1.9299999475479126,1.9299999475479126,1.840000033378601,1.875,5701600,0.0,0.0,SOUN,SOUN,0.002673794234694604
2024-01-11,1.850000023841858,1.8600000143051147,1.7000000476837158,1.7699999809265137,11816500,0.0,0.0,SOUN,SOUN,-0.056000010172526093
2024-01-12,1.7699999809265137,1.8600000143051147,1.7699999809265137,1.8200000524520874,5719700,0.0,0.0,SOUN,SOUN,0.028248628284956778
2024-01-16,1.8700000047683716,1.8700000047683716,1.7599999904632568,1.8200000524520874,6006400,0.0,0.0,SOUN,SOUN,0.0
2024-01-17,1.7999999523162842,1.7999999523162842,1.7300000190734863,1.7899999618530273,4984100,0.0,0.0,SOUN,SOUN,-0.016483565788166232
2024-01-18,1.809999942779541,1.850000023841858,1.7699999809265137,1.809999942779541,4224300,0.0,0.0,SOUN,SOUN,0.01117317394007622
2024-01-19,1.8049999475479126,1.850000023841858,1.7300000190734863,1.850000023841858,7225200,0.0,0.0,SOUN,SOUN,0.02209949299826519
2024-01-22,1.8700000047683716,1.9800000190734863,1.8700000047683716,1.9800000190734863,9585800,0.0,0.0,SOUN,SOUN,0.07027026678716464
2024-01-23,2.0,2.009999990463257,1.8899999856948853,1.9199999570846558,6650600,0.0,0.0,SOUN,SOUN,-0.030303061318608826
2024-01-24,1.9500000476837158,1.9600000381469727,1.8799999952316284,1.899999976158142,6798300,0.0,0.0,SOUN,SOUN,-0.010416656965389626
2024-01-25,1.9299999475479126,1.9299999475479126,1.809999942779541,1.8600000143051147,7131000,0.0,0.0,SOUN,SOUN,-0.02105261176576878
2024-01-26,1.850000023841858,1.9199999570846558,1.8300000429153442,1.840000033378601,4709200,0.0,0.0,SOUN,SOUN,-0.01075267783478251
2024-01-29,1.840000033378601,1.8849999904632568,1.809999942779541,1.8799999952316284,4270200,0.0,0.0,SOUN,SOUN,0.021739109308372973
2024-01-30,1.9199999570846558,1.9199999570846558,1.7899999618530273,1.7899999618530273,6082800,0.0,0.0,SOUN,SOUN,-0.04787235830152892
2024-01-31,1.7599999904632568,1.7799999713897705,1.649999976158142,1.659999966621399,11053900,0.0,0.0,SOUN,SOUN,-0.07262569720786527
2024-02-01,1.7000000476837158,1.7200000286102295,1.649999976158142,1.7100000381469727,4870300,0.0,0.0,SOUN,SOUN,0.030120525621057048
2024-02-02,1.690000057220459,1.715000033378601,1.6399999856948853,1.7000000476837158,4850400,0.0,0.0,SOUN,SOUN,-0.005847947508874518
2024-02-05,1.7100000381469727,1.7300000190734863,1.6299999952316284,1.6299999952316284,7147300,0.0,0.0,SOUN,SOUN,-0.04117650028743458
2024-02-06,1.649999976158142,1.7699999809265137,1.6200000047683716,1.7200000286102295,7435500,0.0,0.0,SOUN,SOUN,0.05521474456557396
2024-02-07,1.75,1.75,1.649999976158142,1.7100000381469727,6067300,0.0,0.0,SOUN,SOUN,-0.005813947847045586
2024-02-08,1.7000000476837158,2.009999990463257,1.7000000476837158,1.9500000476837158,14361900,0.0,0.0,SOUN,SOUN,0.1403508796390538
2024-02-09,2.0299999713897705,2.299999952316284,1.9900000095367432,2.259999990463257,37499600,0.0,0.0,SOUN,SOUN,0.15897432574310488
2024-02-12,2.2699999809265137,2.380000114440918,2.2200000286102295,2.3499999046325684,25558600,0.0,0.0,SOUN,SOUN,0.03982297103942156
2024-02-13,2.109999895095825,2.309999942779541,2.0799999237060547,2.2750000953674316,12015400,0.0,0.0,SOUN,SOUN,-0.031914813748412985
2024-02-14,2.369999885559082,2.4200000762939453,2.2200000286102295,2.255000114440918,38358800,0.0,0.0,SOUN,SOUN,-0.008791200038733793
2024-02-15,4.010000228881836,4.059999942779541,3.109999895095825,3.759999990463257,298289400,0.0,0.0,SOUN,SOUN,0.6674056761169935
2024-02-16,3.7200000286102295,4.010000228881836,3.390000104904175,3.819999933242798,119210900,0.0,0.0,SOUN,SOUN,0.01595743163077734
2024-02-20,4.090000152587891,4.349999904632568,3.6600000858306885,3.990000009536743,101328700,0.0,0.0,SOUN,SOUN,0.04450263855099923
2024-02-21,3.9000000953674316,4.0,3.4600000381469727,3.7699999809265137,67574000,0.0,0.0,SOUN,SOUN,-0.055137851650224
2024-02-22,4.059999942779541,4.105000019073486,3.8499999046325684,3.9700000286102295,65880800,0.0,0.0,SOUN,SOUN,0.053050410794581504
2024-02-23,3.990000009536743,4.0,3.680000066757202,3.9200000762939453,34654300,0.0,0.0,SOUN,SOUN,-0.01259444633651241
2024-02-26,3.940000057220459,5.949999809265137,3.8399999141693115,5.75,212903900,0.0,0.0,SOUN,SOUN,0.46683670614521433
2024-02-27,7.119999885559082,7.908999919891357,6.5,6.860000133514404,301330100,0.0,0.0,SOUN,SOUN,0.19304350148076588
2024-02-28,6.739999771118164,6.800000190734863,5.900000095367432,6.340000152587891,118471700,0.0,0.0,SOUN,SOUN,-0.07580174501543568
2024-02-29,6.789999961853027,7.579999923706055,6.630000114440918,7.420000076293945,176458500,0.0,0.0,SOUN,SOUN,0.17034698702100437
2024-03-01,5.860000133514404,6.820000171661377,5.630000114440918,6.034999847412109,145118400,0.0,0.0,SOUN,SOUN,-0.18665771086805694
