date,open,high,low,close,volume,dividends,stock splits,symbol,ts_code,daily_return
2017-10-03,59.978782648622705,60.39773804608261,59.82289252747811,60.095699310302734,3966800,0.0,0.0,TMUS,TMUS,
2017-10-04,59.84237549933737,60.65105805745939,59.705972108018884,59.92032241821289,5695500,0.0,0.0,TMUS,TMUS,-0.0029182935568199397
2017-10-05,59.93006648291071,60.49517051873945,59.74494811774982,59.93981170654297,3944200,0.0,0.0,TMUS,TMUS,0.0003252533955684367
2017-10-06,60.04698572205116,61.021299930738024,60.01775376842521,60.806949615478516,4124800,0.0,0.0,TMUS,TMUS,0.014466810693048782
2017-10-09,60.70951057127563,61.00180404667762,59.60853463999118,59.97877502441406,3148400,0.0,0.0,TMUS,TMUS,-0.013619735841076341
2017-10-10,60.10544071300558,60.19312913829257,59.54034041860002,59.657257080078125,3251900,0.0,0.0,TMUS,TMUS,-0.005360528690442012
2017-10-11,59.57931515917646,60.154160689149506,57.89374831277893,59.608543395996094,4411100,0.0,0.0,TMUS,TMUS,-0.0008165592329637539
2017-10-12,59.50136568178766,60.08595269334154,59.1506119881699,59.705970764160156,2506600,0.0,0.0,TMUS,TMUS,0.0016344530936920343
2017-10-13,59.71571856464204,59.96903862279238,59.179846494802426,59.813148498535156,2389400,0.0,0.0,TMUS,TMUS,0.0017950924003622415
2017-10-16,59.939806513983186,60.066468393233144,59.33573278609752,59.403934478759766,1489400,0.0,0.0,TMUS,TMUS,-0.006841539528476992
2017-10-17,59.3649647616222,59.47213991876269,59.004469546733596,59.37470626831055,1318800,0.0,0.0,TMUS,TMUS,-0.0004920248247137771
2017-10-18,59.30650201981634,59.34547547832045,58.70242827985695,59.12138366699219,3115500,0.0,0.0,TMUS,TMUS,-0.004266507023607202
2017-10-19,58.88754550396754,60.378248671111606,58.76088734132723,59.93006134033203,4448500,0.0,0.0,TMUS,TMUS,0.01367826027034158
2017-10-20,60.37825235568295,60.38799386235995,58.73165897374096,58.90703582763672,3795400,0.0,0.0,TMUS,TMUS,-0.0170703231369268
2017-10-23,59.53059528287977,60.40747953703837,58.751144677357495,59.89109420776367,6758900,0.0,0.0,TMUS,TMUS,0.016705277498707094
2017-10-24,60.154159570929,60.79720678600323,59.95929599008845,60.6802864074707,3645100,0.0,0.0,TMUS,TMUS,0.01317712107528557
2017-10-25,60.35876972089183,60.66080476564993,59.79366566072741,60.33928298950195,4066700,0.0,0.0,TMUS,TMUS,-0.00561967383737938
2017-10-26,60.58285511223219,60.71925850073726,59.9300626886119,60.144412994384766,2838800,0.0,0.0,TMUS,TMUS,-0.0032295709438756592
2017-10-27,59.891095706274115,61.38179525892826,59.891095706274115,61.33308029174805,3084600,0.0,0.0,TMUS,TMUS,0.019763553058107952
2017-10-30,61.060267905077716,61.45974028710926,57.6891417327155,58.04964065551758,14267500,0.0,0.0,TMUS,TMUS,-0.05353456276143098
2017-10-31,58.108098397516876,58.70243065525674,57.79631815029494,58.23476028442383,7361300,0.0,0.0,TMUS,TMUS,0.0031889883695370713
2017-11-01,58.595252923402455,58.84857668608396,57.83528906878505,58.21527099609375,3352000,0.0,0.0,TMUS,TMUS,-0.00033466761492428887
2017-11-02,58.225010862523625,58.566023038573405,56.63688150422765,56.802513122558594,5884400,0.0,0.0,TMUS,TMUS,-0.024267822675427375
2017-11-03,57.49428052131039,57.91323593349863,57.07532882583594,57.3968505859375,4097600,0.0,0.0,TMUS,TMUS,0.010463224788955117
2017-11-06,54.75645816578604,55.04875167914674,53.519078699735864,54.11341094970703,16985500,0.0,0.0,TMUS,TMUS,-0.05720591988430335
2017-11-07,54.34724423267042,54.59082277973935,53.197553193168,53.93803405761719,8785400,0.0,0.0,TMUS,TMUS,-0.003240913648057342
2017-11-08,53.93803297631,54.97080361648133,53.82111631674059,54.775943756103516,5981000,0.0,0.0,TMUS,TMUS,0.015534672576150266
2017-11-09,55.04875302314758,55.11695472070642,54.201100698692244,54.56159591674805,5205000,0.0,0.0,TMUS,TMUS,-0.003913174737981251
2017-11-10,54.25955603150481,55.574882421146135,54.11341113268712,55.34104537963867,5758300,0.0,0.0,TMUS,TMUS,0.014285679328000844
2017-11-13,55.341045298851306,55.428733724699384,54.473906263639,54.990291595458984,4429100,0.0,0.0,TMUS,TMUS,-0.006338040450329818
2017-11-14,54.941574169545305,55.496932936148724,54.522618788884685,55.08772277832031,5035300,0.0,0.0,TMUS,TMUS,0.0017717888018868866
2017-11-15,55.34104279608814,55.52616486268077,54.736969065738926,55.23386764526367,3709900,0.0,0.0,TMUS,TMUS,0.002652948053987636
2017-11-16,55.350791114321936,58.43936534844558,55.350791114321936,58.26398849487305,10397700,0.0,0.0,TMUS,TMUS,0.05485983471355205
2017-11-17,58.02040748964084,58.52705129888999,57.445561986522925,58.478336334228516,7147600,0.0,0.0,TMUS,TMUS,0.00367890775919566
2017-11-20,58.21526857272057,58.89728919892357,58.04963695661978,58.75114059448242,4225100,0.0,0.0,TMUS,TMUS,0.00466504824444236
2017-11-21,59.53058990379361,59.67673850518552,58.6829376791752,58.858314514160156,5170200,0.0,0.0,TMUS,TMUS,0.0018242015149541047
2017-11-22,58.858319741095094,59.852120655360274,58.858319741095094,59.774173736572266,6643000,0.0,0.0,TMUS,TMUS,0.015560405186114679
2017-11-24,59.248047008873606,60.49516797803036,59.18958681967676,60.095699310302734,2129200,0.0,0.0,TMUS,TMUS,0.005379004905152751
2017-11-27,60.60234203662112,61.31359093376811,59.71571629177064,61.167442321777344,5123600,0.0,0.0,TMUS,TMUS,0.017833938597514143
2017-11-28,60.73874261366272,60.80694430497739,59.43316153937513,59.803401947021484,5690600,0.0,0.0,TMUS,TMUS,-0.02230010481033673
2017-11-29,59.97878271533545,61.05052683480739,59.842375607057754,60.24184799194336,4090400,0.0,0.0,TMUS,TMUS,0.007331456583528295
2017-11-30,60.30030297827362,60.79720528296822,59.189585426669545,59.501365661621094,7164100,0.0,0.0,TMUS,TMUS,-0.012291826280317553
2017-12-01,58.79986332646005,59.68648914266245,58.60500345040898,59.33573913574219,4973500,0.0,0.0,TMUS,TMUS,-0.0027835752009593984
2017-12-04,59.62802096047768,60.193121180171445,58.65370690464214,58.69268035888672,3902900,0.0,0.0,TMUS,TMUS,-0.010837629836957907
2017-12-05,58.946008109485824,59.764432172401776,58.751144529417516,59.39419174194336,3634900,0.0,0.0,TMUS,TMUS,0.011952280570032281
2017-12-06,58.975239032496,60.651060694032964,58.41988021986365,60.52439880371094,5145800,0.0,0.0,TMUS,TMUS,0.01902891559966191
